Organism;Body Site;Project ID;CDS Count;Contig Count;Contig Locus Min;Contig Locus Max;Contig ASM;Contig CDS;Contig PEP;Contig GBK;Scaffold Count;Scaffold Locus Min;Scaffold Locus Max;Scaffold ASM;Scaffold CDS;Scaffold PEP;Scaffold GBK
Clostridium sp. 7_3_54FAA;Gastrointestinal_tract;40017;9986;172;ACWK01000001;ACWK01000172;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.nuc.gbk;51;JH376512;JH376562;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.nuc.gbk
Enterococcus faecalis TX1302;Gastrointestinal_tract;47181;5706;66;AEBK01000001;AEBK01000066;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.nuc.gbk;32;GL454527;GL454558;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.nuc.gbk
Collinsella intestinalis DSM 13280;Gastrointestinal_tract;29307;3568;55;ABXH02000001;ABXH02000055;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.nuc.gbk;3;GG692710;GG692712;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.nuc.gbk
Ruminococcus gnavus ATCC 29149;Gastrointestinal_tract;18179;3913;43;AAYG02000001;AAYG02000043;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18179/18179.AAYG02000001-AAYG02000043.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18179/18179.AAYG02000001-AAYG02000043.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18179/18179.AAYG02000001-AAYG02000043.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18179/18179.AAYG02000001-AAYG02000043.nuc.gbk;;;;;;;
Bifidobacterium sp. 12_1_47BFAA;Gastrointestinal_tract;41959;4086;86;ADCN01000001;ADCN01000086;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.ADCN01000001-ADCN01000086.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.ADCN01000001-ADCN01000086.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.ADCN01000001-ADCN01000086.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.ADCN01000001-ADCN01000086.nuc.gbk;61;GL622625;GL622685;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.GL622625-GL622685.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.GL622625-GL622685.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.GL622625-GL622685.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41959/41959.GL622625-GL622685.nuc.gbk
Enterococcus faecalis TX2137;Gastrointestinal_tract;47129;6000;133;AEBQ01000001;AEBQ01000133;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.AEBQ01000001-AEBQ01000133.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.AEBQ01000001-AEBQ01000133.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.AEBQ01000001-AEBQ01000133.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.AEBQ01000001-AEBQ01000133.nuc.gbk;106;GL454048;GL454153;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.GL454048-GL454153.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.GL454048-GL454153.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.GL454048-GL454153.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47129/47129.GL454048-GL454153.nuc.gbk
Escherichia coli MS 124-1;Gastrointestinal_tract;40707;5972;176;ADWT01000001;ADWT01000176;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40707/40707.ADWT01000001-ADWT01000176.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40707/40707.ADWT01000001-ADWT01000176.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40707/40707.ADWT01000001-ADWT01000176.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40707/40707.ADWT01000001-ADWT01000176.nuc.gbk;;;;;;;
Helicobacter pylori HP116Bi;Gastrointestinal_tract;89301;3376;72;APEN01000001;APEN01000072;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.APEN01000001-APEN01000072.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.APEN01000001-APEN01000072.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.APEN01000001-APEN01000072.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.APEN01000001-APEN01000072.nuc.gbk;51;KB642244;KB642294;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.KB642244-KB642294.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.KB642244-KB642294.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.KB642244-KB642294.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89301/89301.KB642244-KB642294.nuc.gbk
Lactobacillus fermentum ATCC 14931;Gastrointestinal_tract;31485;3732;145;ACGI01000001;ACGI01000145;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.ACGI01000001-ACGI01000145.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.ACGI01000001-ACGI01000145.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.ACGI01000001-ACGI01000145.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.ACGI01000001-ACGI01000145.nuc.gbk;74;GG669900;GG669973;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.GG669900-GG669973.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.GG669900-GG669973.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.GG669900-GG669973.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31485/31485.GG669900-GG669973.nuc.gbk
Enterobacteriaceae bacterium 9_2_54FAA;Gastrointestinal_tract;41973;4086;5;ADCU02000001;ADCU02000005;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41973/41973.ADCU02000001-ADCU02000005.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41973/41973.ADCU02000001-ADCU02000005.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41973/41973.ADCU02000001-ADCU02000005.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41973/41973.ADCU02000001-ADCU02000005.nuc.gbk;;;;;;;
Helicobacter pylori HP250AFiV;Gastrointestinal_tract;89307;3236;73;APEQ01000001;APEQ01000073;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.APEQ01000001-APEQ01000073.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.APEQ01000001-APEQ01000073.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.APEQ01000001-APEQ01000073.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.APEQ01000001-APEQ01000073.nuc.gbk;43;KB642733;KB642775;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.KB642733-KB642775.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.KB642733-KB642775.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.KB642733-KB642775.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89307/89307.KB642733-KB642775.nuc.gbk
Escherichia coli MS 200-1;Gastrointestinal_tract;47275;10686;445;ADUC01000001;ADUC01000445;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.ADUC01000001-ADUC01000445.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.ADUC01000001-ADUC01000445.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.ADUC01000001-ADUC01000445.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.ADUC01000001-ADUC01000445.nuc.gbk;153;GG773727;GG773879;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.GG773727-GG773879.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.GG773727-GG773879.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.GG773727-GG773879.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47275/47275.GG773727-GG773879.nuc.gbk
Escherichia coli MS 69-1;Gastrointestinal_tract;47213;10964;425;ADTP01000001;ADTP01000425;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.ADTP01000001-ADTP01000425.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.ADTP01000001-ADTP01000425.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.ADTP01000001-ADTP01000425.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.ADTP01000001-ADTP01000425.nuc.gbk;150;GG772327;GG772476;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.GG772327-GG772476.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.GG772327-GG772476.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.GG772327-GG772476.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47213/47213.GG772327-GG772476.nuc.gbk
Escherichia coli MS 153-1;Gastrointestinal_tract;47257;10934;507;ADTX01000001;ADTX01000507;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.ADTX01000001-ADTX01000507.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.ADTX01000001-ADTX01000507.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.ADTX01000001-ADTX01000507.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.ADTX01000001-ADTX01000507.nuc.gbk;155;GG773060;GG773214;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.GG773060-GG773214.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.GG773060-GG773214.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.GG773060-GG773214.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47257/47257.GG773060-GG773214.nuc.gbk
